Data,Taxa de juros - Over / Selic - (% a.a.) - Banco Central do Brasil- Sistema Gerenciador de S̩ries Temporais (Bacen Outras/SGS) - GM366_TJOVER366,
1986.06,,
1986.07,23.5059734780254,
1986.08,35.5493993341078,
1986.09,39.3861533719871,
1986.10,23.6412927260156,
1986.11,34.3121613049114,
1986.12,83.9729633641589,
1987.01,250.024194238264,
1987.02,854.44300915362,
1987.03,314.700299013828,
1987.04,560.689870259337,
1987.05,1502.23479615626,
1987.06,630.277509696701,
1987.07,154.668703441888,
1987.08,154.234339963599,
1987.09,151.433539603547,
1987.10,195.516144110206,
1987.11,362.132267833277,
1987.12,366.042522539421,
1988.01,606.322334781434,
1988.02,833.979870684591,
1988.03,480.07565855065,
1988.04,1054.30723572426,
1988.05,762.509117755799,
1988.06,720.742231359002,
1988.07,1312.79887748762,
1988.08,835.068257010399,
1988.09,1539.20340461941,
1988.10,3076.4290385448,
1988.11,1909.29303952841,
1988.12,1962.11222971477,
1989.01,1253.73009414761,
1989.02,1034.66476000582,
1989.03,829.216516611058,
1989.04,324.539225507855,
1989.05,266.367957059439,
1989.06,1486.0105841219,
1989.07,3005.23320730796,
1989.08,2687.60587392809,
1989.09,6002.00904392627,
1989.10,10676.5351420962,
1989.11,14365.3153046447,
1989.12,51659.4557099482,
1990.01,36957.1963272636,
1990.02,438898.820052982,
1990.03,6254.28731402628,
1990.04,73.207424222271,
1990.05,88.5609480236192,
1990.06,187.108303960345,
1990.07,339.349251320303,
1990.08,230.470962491676,
1990.09,554.260052642317,
1990.10,524.382110243389,
1990.11,877.011195964793,
1990.12,1237.93795646176,
1991.01,789.537291469749,
1991.02,166.935870490878,
1991.03,213.316276055412,
1991.04,187.761112129269,
1991.05,198.989842933418,
1991.06,244.782727207826,
1991.07,259.477721589059,
1991.08,434.018020638882,
1991.09,772.451901018649,
1991.10,1152.40104415111,
1991.11,3343.47457292664,
1991.12,2495.21508816273,
1992.01,1757.40857655,
1992.02,2316.06299280039,
1992.03,1903.47892695648,
1992.04,1619.82103980248,
1992.05,1257.13867449045,
1992.06,1257.7435799468,
1992.07,1181.44847988739,
1992.08,1447.91176278881,
1992.09,1773.23989282863,
1992.10,1866.65467477747,
1992.11,1815.17124533212,
1992.12,1300.8493235596,
1993.01,2259.55670742778,
1993.02,3397.10552998646,
1993.03,1441.33270041867,
1993.04,3326.21676868205,
1993.05,2430.27130513508,
1993.06,2676.48781583517,
1993.07,2461.36593557763,
1993.08,2916.18998003081,
1993.09,4359.95495526015,
1993.10,5902.31666957867,
1993.11,5892.15431000596,
1993.12,4010.31666336434,
1994.01,7065.0122233422,
1994.02,13442.0247749498,
1994.03,7784.34070297994,
1994.04,15710.858306467,
1994.05,8784.02120147366,
1994.06,13532.640307847,
1994.07,131.026718511488,
1994.08,56.4578565254894,
1994.09,57.0592981230301,
1994.10,60.2992076961914,
1994.11,65.3523949484092,
1994.12,53.2496456564441,
1995.01,46.2477735963273,
1995.02,56.5398321024338,
1995.03,57.9740860273155,
1995.04,85.4664490033238,
1995.05,61.0399449808196,
1995.06,60.838051657058,
1995.07,60.5265839901653,
1995.08,51.106131221192,
1995.09,50.9906300400218,
1995.10,44.1049590814617,
1995.11,42.9295281661717,
1995.12,41.2180157665134,
1996.01,33.8226137687576,
1996.02,36.100895438976,
1996.03,30.1540107404792,
1996.04,29.4188863563621,
1996.05,25.6347098413283,
1996.06,29.6501740480509,
1996.07,23.2776069227176,
1996.08,25.006947243674,
1996.09,25.3943707468687,
1996.10,23.4791295204502,
1996.11,25.2657675206375,
1996.12,23.9300715020887,
1997.01,21.7301964564775,
1997.02,26.1318150635103,
1997.03,24.0994250715325,
1997.04,21.8340727391608,
1997.05,21.901533232222,
1997.06,21.0774166920235,
1997.07,19.0407609793648,
1997.08,20.7756461254232,
1997.09,19.8025107635417,
1997.10,19.9298804474803,
1997.11,45.8976403386729,
1997.12,39.8612717819538,
1998.01,37.1896390991236,
1998.02,34.3179945849818,
1998.03,28.3190641823637,
1998.04,25.1636705158908,
1998.05,22.5965307354035,
1998.06,21.0175264673521,
1998.07,20.3336063481377,
1998.08,19.2274886464179,
1998.09,34.2923073495909,
1998.10,41.5972742469798,
1998.11,38.7302841993757,
1998.12,31.2371618646372,
1999.01,31.1900317694652,
1999.02,38.974436354513,
1999.03,43.2453106861905,
1999.04,36.1237594863629,
1999.05,27.1053950224658,
1999.06,22.0140158843439,
1999.07,20.7370861957888,
1999.08,19.5145453508206,
1999.09,19.3802722971409,
1999.10,18.9074887364306,
1999.11,18.9459585640112,
1999.12,18.9908644166317,
2000.01,18.9375952764573,
2000.02,18.8695237503871,
2000.03,18.8466083707424,
2000.04,18.6184119412451,
2000.05,18.5127111253975,
2000.06,18.0405769844804,
2000.07,16.8481677014625,
2000.08,16.5225868567875,
2000.09,16.5604783016697,
2000.10,16.596190252516,
2000.11,16.5064753985699,
2000.12,16.1917491017275,
2001.01,15.4883140321703,
2001.02,15.1999767530598,
2001.03,15.3941086930628,
2001.04,16.0212676566178,
2001.05,16.4284193328648,
2001.06,17.2836308251496,
2001.07,18.5678049675835,
2001.08,18.9956405939016,
2001.09,19.0642098051552,
2001.10,19.0631798185468,
2001.11,19.0484999464483,
2001.12,19.05,
2002.01,19.05,
2002.02,18.9660519095552,
2002.03,18.7219411053805,
2002.04,18.3749810206075,
2002.05,18.3656970335984,
2002.06,18.0992464982412,
2002.07,18.1697141169693,
2002.08,17.8395431604087,
2002.09,17.8942852064601,
2002.10,19.586384937055,
2002.11,21.2490633966461,
2002.12,23.0342652420746,
2003.01,25.0575142693525,
2003.02,25.6766977812891,
2003.03,26.3163142390131,
2003.04,26.3189999643744,
2003.05,26.3080939704945,
2003.06,26.0862721067743,
2003.07,25.359266479477,
2003.08,23.4967289138843,
2003.09,21.0196736666914,
2003.10,19.5365247140555,
2003.11,18.3123074892203,
2003.12,16.9094660969307,
2004.01,16.3171416640107,
2004.02,16.2994419856279,
2004.03,16.1917000705758,
2004.04,15.95593129996,
2004.05,15.7704738674063,
2004.06,15.7990458546178,
2004.07,15.7736344578115,
2004.08,15.8613609178162,
2004.09,16.0937124056672,
2004.10,16.409747962994,
2004.11,16.9582441148085,
2004.12,17.5006002673143,
2005.01,17.9307033341329,
2005.02,18.4730771894619,
2005.03,18.9724695176937,
2005.04,19.3164427784357,
2005.05,19.6051821899255,
2005.06,19.7454544039722,
2005.07,19.7223808368526,
2005.08,19.7482603012657,
2005.09,19.6061358828867,
2005.10,19.2517447415841,
2005.11,18.8652989718585,
2005.12,18.2416057369543,
2006.01,17.6521581669334,
2006.02,17.2805541592001,
2006.03,16.7351885713033,
2006.04,16.1944431164341,
2006.05,15.7013563578826,
2006.06,15.1761902911214,
2006.07,14.979245942509,
2006.08,14.6582138559497,
2006.09,14.1704999354043,
2006.10,13.9506943560924,
2006.11,13.6504481952793,
2006.12,13.1868420098143,
2007.01,13.1313119119195,
2007.02,12.93,
2007.03,12.7358628142008,
2007.04,12.5794326286829,
2007.05,12.43,
2007.06,12.0298217943168,
2007.07,11.7251839412288,
2007.08,11.4295651987292,
2007.09,11.2194363627792,
2007.10,11.1795454350316,
2007.11,11.18,
2007.12,11.18,
2008.01,11.1781817512775,
2008.02,11.1789473260626,
2008.03,11.179499978637,
2008.04,11.3731021467315,
2008.05,11.6254990380579,
2008.06,12.0879450404271,
2008.07,12.3647379149382,
2008.08,12.9190475808911,
2008.09,13.3907970866135,
2008.10,13.6643477179859,
2008.11,13.6399997800071,
2008.12,13.658999960406,
2009.01,13.3256757309732,
2009.02,12.66,
2009.03,11.6546864569246,
2009.04,11.0590887516461,
2009.05,10.1594999784392,
2009.06,9.53940396655335,
2009.07,9.00584025289961,
2009.08,8.65,
2009.09,8.65,
2009.10,8.65,
2009.11,8.65,
2009.12,8.65,
2010.01,8.65,
2010.02,8.65,
2010.03,8.65,
2010.04,8.72226966424534,
2010.05,9.39857137260438,
2010.06,9.93661688982486,
2010.07,10.3188453664576,
2010.08,10.66,
2010.09,10.66,
2010.10,10.66,
2010.11,10.66,
2010.12,10.6613042965812,
2011.01,10.8530659756654,
2011.02,11.1694999786351,
2011.03,11.6222842236699,
2011.04,11.7357352808398,
2011.05,11.92,
2011.06,12.0866046798979,
2011.07,12.2532714998788,
2011.08,12.4178260112844,
2011.09,11.9052379837894,
2011.10,11.6992321363965,
2011.11,11.4,
2011.12,10.9004545258937,
2012.01,10.6951814219226,
2012.02,10.4,
2012.03,9.82000589626213,
2012.04,9.38854638511717,
2012.05,8.87255978881099,
2012.06,8.39049997808972,
2012.07,8.07155075459178,
2012.08,7.84642948021954,
2012.09,7.39000000000001,
2012.10,7.23084168176928,
2012.11,7.13999999999999,
2012.12,7.15748540770065,
2013.01,7.10999999999999,
2013.02,7.12388431955751,
2013.03,7.14749888580484,
2013.04,7.25902477862748,
2013.05,7.42375689981045,
2013.06,7.9,
2013.07,8.22582470893756,
2013.08,8.4453595237113,
2013.09,8.9,
2013.10,9.24758354942727,
2013.11,9.44989746303902,
2013.12,9.89952378888952,
2014.01,10.1724458936344,
2014.02,10.4249745609331,
2014.03,10.65,
2014.04,10.8749746030476,
2014.05,10.9,
2014.06,10.9,
2014.07,10.9,
2014.08,10.9,
2014.09,10.9,
2014.10,10.9217167901675,
2014.11,11.15,
2014.12,11.5816859636399,
2015.01,11.8164184904538,
2015.02,12.15,
2015.03,12.5816871405956,
2015.04,12.6774478257028,
2015.05,13.15,
2015.06,13.5784363829062,
2015.07,13.693391180957,
2015.08,14.15,
2015.09,14.15,
2015.10,14.15,
2015.11,14.15,
2015.12,14.15,
2016.01,14.15,
2016.02,14.15,
2016.03,14.15,
2016.04,14.15,
2016.05,14.15,
2016.06,14.15,
2016.07,14.15,
2016.08,14.15,
2016.09,14.15,
2016.10,14.0499342201236,
2016.11,13.9,
2016.12,13.65,
2017.01,13.1721528896757,
2017.02,12.8164195938316,
2017.03,12.15,
2017.04,11.5933388740493,
2017.05,11.15,
2017.06,10.15,
2017.07,10.0065838846416,
2017.08,9.14999999999999,
2017.09,8.34926436408119,
2017.10,8.00674017904188,
2017.11,7.40000000000001,
2017.12,6.99981343259219,
2018.01,6.9,
2018.02,6.71938573964372,
2018.03,6.5785115494591,
2018.04,6.40000000000001,
2018.05,6.40000000000001,
2018.06,6.40000000000001,
2018.07,6.40000000000001,
2018.08,6.40000000000001,
2018.09,6.40000000000001,
2018.10,6.40000000000001,
2018.11,6.40000000000001,
2018.12,6.40000000000001,
2019.01,6.40000000000001,
2019.02,6.40000000000001,
2019.03,6.40000000000001,
2019.04,6.40000000000001,
2019.05,6.40000000000001,
2019.06,6.40000000000001,
2019.07,6.40000000000001,
2019.08,5.89999999999999,
2019.09,5.70924473677206,
2019.10,5.37821139492176,
2019.11,4.89999999999999,
2019.12,4.59019455730014,
2020.01,4.4,
2020.02,4.19162505435919,
2020.03,3.94516367545596,
2020.04,3.65,
2020.05,3.01215307063343,
2020.06,2.57789949704554,
2020.07,2.15000000000001,
2020.08,1.93567679082531,
2020.09,1.89999999999999,
2020.10,1.89999999999999,
2020.11,1.89999999999999,
2020.12,1.89999999999999,
2021.01,1.89999999999999,
2021.02,1.89999999999999,
2021.03,2.2254112735852,
2021.04,2.65,
2021.05,3.29252257595329,
2021.06,3.7564668825198,
2021.07,4.15000000000001,
2021.08,5.01307302969309,
2021.09,5.43474909467436,
2021.10,6.29905461106643,
2021.11,7.65,
2021.12,8.75669232397889,
2022.01,9.14999999999999,
2022.02,10.4911394082111,
2022.03,11.1488753879228,
2022.04,11.65,
2022.05,12.5131107436203,
2022.06,12.8878190814905,
2022.07,13.15,
2022.08,13.5846575168536,
2022.09,13.65,
2022.10,13.65,
2022.11,13.65,
2022.12,13.65,
2023.01,13.65,
2023.02,13.65,
2023.03,13.65,
2023.04,13.65,
2023.05,13.65,
2023.06,13.65,
2023.07,13.65,
2023.08,13.1933907972388,
2023.09,12.9747480617097,
2023.10,12.65,
2023.11,12.1749472104318,
2023.12,11.8747235457125,
2024.01,11.65,
2024.02,11.15,
2024.03,10.9997632288085,
2024.04,10.65,
