Data,Taxa de câmbio real bilateral - IPA-DI - Brasil/Estados Unidos - índice (média 2010 = 100) - - - Instituto de Pesquisa Econômica Aplicada - GAC12_TCEREUA12,
1980.01,304.697009616961,
1980.02,308.489431902691,
1980.03,302.312374284687,
1980.04,295.47798348923,
1980.05,285.659441294826,
1980.06,278.391620685165,
1980.07,265.953903359679,
1980.08,260.657058974257,
1980.09,257.361410602359,
1980.10,247.208068445649,
1980.11,238.765751950793,
1980.12,238.023318751939,
1981.01,240.493370508397,
1981.02,234.469708336424,
1981.03,231.350158256701,
1981.04,235.660506106072,
1981.05,235.070297975033,
1981.06,238.07297818309,
1981.07,242.503110787474,
1981.08,244.457411916788,
1981.09,244.755660451743,
1981.10,247.008449017895,
1981.11,246.307529525634,
1981.12,252.229729072221,
1982.01,251.592217330333,
1982.02,247.945143618682,
1982.03,243.434486800581,
1982.04,242.285722292301,
1982.05,241.813703005986,
1982.06,233.439405887218,
1982.07,234.150036857294,
1982.08,238.069328102704,
1982.09,245.39461980778,
1982.10,249.309510732941,
1982.11,252.936626976424,
1982.12,254.966526652457,
1983.01,248.310748225455,
1983.02,282.838049821432,
1983.03,323.886209552285,
1983.04,319.057519065638,
1983.05,327.422973495551,
1983.06,315.000740027991,
1983.07,303.987384198432,
1983.08,312.973203322976,
1983.09,298.792230956664,
1983.10,290.124934937749,
1983.11,295.600696980685,
1983.12,299.53348088201,
1984.01,295.174221530308,
1984.02,292.912546110087,
1984.03,300.844094233158,
1984.04,300.193017314137,
1984.05,300.499786664118,
1984.06,299.743072274564,
1984.07,299.40302712703,
1984.08,299.951974015208,
1984.09,296.821581710064,
1984.10,290.807085792355,
1984.11,294.502862010333,
1984.12,291.851173684826,
1985.01,288.719156665112,
1985.02,295.526270637383,
1985.03,287.029232527824,
1985.04,304.089889781021,
1985.05,317.60339752879,
1985.06,324.625703932222,
1985.07,326.448099971843,
1985.08,306.115421668592,
1985.09,310.238652921143,
1985.10,313.172039675711,
1985.11,298.2747289054,
1985.12,295.504087019754,
1986.01,282.294059815071,
1986.02,276.000293500876,
1986.03,277.592257815111,
1986.04,279.753318850991,
1986.05,280.623330232011,
1986.06,279.306248950043,
1986.07,276.303302065066,
1986.08,272.384061456967,
1986.09,270.849029433223,
1986.10,271.084945022676,
1986.11,268.299161126066,
1986.12,256.727787639306,
1987.01,252.747035486226,
1987.02,265.92193723512,
1987.03,270.592177924168,
1987.04,254.166851597585,
1987.05,254.204030239507,
1987.06,258.965763089755,
1987.07,269.791368730249,
1987.08,273.621452922549,
1987.09,268.930640623951,
1987.10,258.906507010899,
1987.11,250.225523476648,
1987.12,245.419383585377,
1988.01,239.473773421011,
1988.02,238.134725563364,
1988.03,239.206043603078,
1988.04,233.281692355702,
1988.05,235.980014929959,
1988.06,231.92669186554,
1988.07,231.140032636583,
1988.08,231.715871158305,
1988.09,224.301886621783,
1988.10,223.307666278178,
1988.11,223.8910064047,
1988.12,221.989468834695,
1989.01,222.477720187797,
1989.02,223.087237136234,
1989.03,217.72717831671,
1989.04,212.212108677537,
1989.05,208.256249809329,
1989.06,201.472868231284,
1989.07,206.663976599497,
1989.08,194.057788621865,
1989.09,181.793922643814,
1989.10,178.663007072871,
1989.11,172.111447309608,
1989.12,171.757906698211,
1990.01,156.389960466795,
1990.02,147.94196798809,
1990.03,129.265187861726,
1990.04,149.04295813727,
1990.05,148.513048694393,
1990.06,151.060124683838,
1990.07,157.675448810231,
1990.08,153.499422709804,
1990.09,147.752936138158,
1990.10,165.871447746543,
1990.11,180.168479032304,
1990.12,194.236952528553,
1991.01,202.428227583771,
1991.02,188.242556419026,
1991.03,180.009793104329,
1991.04,180.772469091203,
1991.05,186.367350654045,
1991.06,186.653083742042,
1991.07,182.817834036276,
1991.08,178.818172310189,
1991.09,179.073029000562,
1991.10,192.071647175993,
1991.11,194.048883881352,
1991.12,205.743321022153,
1992.01,201.803182683966,
1992.02,199.290173316976,
1992.03,204.535811834366,
1992.04,210.570216342839,
1992.05,209.454834304762,
1992.06,209.006034058508,
1992.07,207.776917715091,
1992.08,198.659108851196,
1992.09,193.470309551495,
1992.10,193.915927332486,
1992.11,194.915050040702,
1992.12,193.770879420708,
1993.01,193.495367862611,
1993.02,195.484155351108,
1993.03,192.41508786627,
1993.04,192.696531732301,
1993.05,188.766198837111,
1993.06,187.833738666484,
1993.07,184.816750129839,
1993.08,181.927621788375,
1993.09,178.123851863424,
1993.10,180.020418196451,
1993.11,179.29946691874,
1993.12,178.741467867393,
1994.01,177.732145091178,
1994.02,175.163338594652,
1994.03,170.617279086131,
1994.04,175.792418397047,
1994.05,181.707421258105,
1994.06,181.77282934501,
1994.07,165.299098839276,
1994.08,153.07904427081,
1994.09,144.559867445297,
1994.10,137.507897808128,
1994.11,134.574591863132,
1994.12,136.116978407067,
1995.01,135.56476808696,
1995.02,134.433817485557,
1995.03,141.138736806237,
1995.04,142.001208844869,
1995.05,143.674155861752,
1995.06,144.565763538444,
1995.07,143.681948703496,
1995.08,143.014100672313,
1995.09,148.365207216069,
1995.10,149.767064316293,
1995.11,148.249660578262,
1995.12,150.270641827832,
1996.01,149.994228172756,
1996.02,150.180864480761,
1996.03,151.291205087899,
1996.04,152.499229820037,
1996.05,152.094109129432,
1996.06,151.469720236157,
1996.07,150.24878256401,
1996.08,151.647334700938,
1996.09,151.789111768145,
1996.10,152.054023020723,
1996.11,152.708832210852,
1996.12,152.962552470556,
1997.01,160.082003295872,
1997.02,160.159551493794,
1997.03,158.649873815865,
1997.04,157.484628698861,
1997.05,158.007688945937,
1997.06,158.31544389403,
1997.07,158.876012808879,
1997.08,160.786783816711,
1997.09,160.398286213761,
1997.10,161.051879797342,
1997.11,160.012705181679,
1997.12,159.293825179667,
1998.01,158.148021027588,
1998.02,160.214096783063,
1998.03,159.888912025312,
1998.04,161.653108079802,
1998.05,162.166188050557,
1998.06,162.686147378235,
1998.07,165.034071016865,
1998.08,166.160024758683,
1998.09,167.358799964459,
1998.10,169.383699128352,
1998.11,170.353435278631,
1998.12,169.723198694351,
1999.01,208.811947174394,
1999.02,247.742007841435,
1999.03,239.3074194418,
1999.04,215.445087446894,
1999.05,216.192800688445,
1999.06,223.856720924472,
1999.07,224.243349498946,
1999.08,230.705694171269,
1999.09,229.311587094429,
1999.10,231.783740709267,
1999.11,220.065955075706,
1999.12,207.281090515378,
2000.01,200.835887004821,
2000.02,199.382786520725,
2000.03,196.751883526225,
2000.04,199.165555625151,
2000.05,204.619027968225,
2000.06,201.129577013343,
2000.07,194.679961516408,
2000.08,190.601722961994,
2000.09,193.207034211552,
2000.10,197.065831661681,
2000.11,204.492440671393,
2000.12,204.802022406773,
2001.01,204.806048116437,
2001.02,209.422246733982,
2001.03,215.274010897615,
2001.04,224.108099215281,
2001.05,234.882263662144,
2001.06,237.402202747777,
2001.07,238.860996158003,
2001.08,241.504871400713,
2001.09,256.868003704592,
2001.10,254.381120698213,
2001.11,233.538501938414,
2001.12,216.39040341421,
2002.01,217.595124156252,
2002.02,221.586372741251,
2002.03,216.381564787216,
2002.04,212.210155710166,
2002.05,223.518555514131,
2002.06,239.291302873786,
2002.07,251.288624410899,
2002.08,257.940549131365,
2002.09,267.890335357229,
2002.10,289.399347660496,
2002.11,253.091486278304,
2002.12,248.254660140525,
2003.01,232.642560728438,
2003.02,241.578616693132,
2003.03,229.580349762845,
2003.04,204.982282811475,
2003.05,197.168293259637,
2003.06,195.690302298478,
2003.07,196.762578340332,
2003.08,204.999488232251,
2003.09,197.430931727969,
2003.10,193.402674888231,
2003.11,195.772490639831,
2003.12,195.779447283673,
2004.01,190.475424582976,
2004.02,192.842129928424,
2004.03,189.670596935687,
2004.04,188.057464468101,
2004.05,198.881622682347,
2004.06,197.61719129544,
2004.07,188.982277611987,
2004.08,184.453418414314,
2004.09,176.673398489001,
2004.10,176.072683287281,
2004.11,171.256774988457,
2004.12,165.526878843432,
2005.01,164.410230200505,
2005.02,158.814977445176,
2005.03,164.558169278877,
2005.04,156.909929003749,
2005.05,150.411105828404,
2005.06,149.166117519032,
2005.07,148.766106456026,
2005.08,150.770997099288,
2005.09,149.301276727911,
2005.10,147.247287355682,
2005.11,142.299410906354,
2005.12,148.146939424692,
2006.01,147.04077571689,
2006.02,138.399665054705,
2006.03,139.422994911911,
2006.04,139.293510626931,
2006.05,141.836848923655,
2006.06,145.598091306999,
2006.07,141.1909063032,
2006.08,139.24319997652,
2006.09,138.04566042863,
2006.10,133.907930737964,
2006.11,134.597212755217,
2006.12,134.876662361684,
2007.01,133.565500374267,
2007.02,132.134159015397,
2007.03,132.64841883301,
2007.04,129.967521458841,
2007.05,127.325342927522,
2007.06,124.090273727585,
2007.07,121.22599822131,
2007.08,123.263994813982,
2007.09,118.311386478744,
2007.10,112.164918898094,
2007.11,110.638231092543,
2007.12,109.117504080941,
2008.01,108.242297778243,
2008.02,105.2222748282,
2008.03,104.059703556703,
2008.04,101.892000473011,
2008.05,99.3940958211525,
2008.06,96.2197775030986,
2008.07,94.5211058508598,
2008.08,95.7955269271669,
2008.09,106.865322222467,
2008.10,124.235625069931,
2008.11,125.866683645961,
2008.12,131.673853787147,
2009.01,128.13188131119,
2009.02,128.673342700595,
2009.03,129.489177514897,
2009.04,124.234153344405,
2009.05,116.385947207526,
2009.06,113.35488896248,
2009.07,111.930903439838,
2009.08,108.273751390871,
2009.09,106.233317823951,
2009.10,102.030009460817,
2009.11,102.678728729349,
2009.12,104.74185321003,
2010.01,106.544049469411,
2010.02,107.935246415688,
2010.03,104.901666391779,
2010.04,102.546220777984,
2010.05,103.656500046817,
2010.06,102.449874763756,
2010.07,100.160821644697,
2010.08,98.474114740629,
2010.09,95.1056867496817,
2010.10,92.8451146487294,
2010.11,92.9242217159689,
2010.12,92.4564826348606,
2011.01,91.2587441037851,
2011.02,90.7532538258162,
2011.03,90.3986015632626,
2011.04,87.0056507844446,
2011.05,89.5150041251886,
2011.06,87.8956830177765,
2011.07,87.0937280109474,
2011.08,88.0290988944255,
2011.09,96.4006922945365,
2011.10,96.9923444049175,
2011.11,97.8903454500536,
2011.12,100.880815032966,
2012.01,98.6316315983703,
2012.02,94.9777392361197,
2012.03,98.7884618609439,
2012.04,100.753230914053,
2012.05,106.305530252811,
2012.06,108.265628345815,
2012.07,105.112815451714,
2012.08,104.560404016811,
2012.09,104.303399476168,
2012.10,105.215730561299,
2012.11,106.460526804721,
2012.12,105.978249959957,
2013.01,104.175002037873,
2013.02,101.740537867299,
2013.03,101.540725375368,
2013.04,102.309816314222,
2013.05,104.393763754485,
2013.06,110.594750817323,
2013.07,114.283953235171,
2013.08,118.763923577233,
2013.09,112.695408563428,
2013.10,108.081924199036,
2013.11,113.560098031877,
2013.12,115.60517242613,
2014.01,118.167281495451,
2014.02,117.305048917709,
2014.03,112.660606357617,
2014.04,108.33774844714,
2014.05,108.703593754146,
2014.06,111.027985918402,
2014.07,111.62180580753,
2014.08,113.577308183351,
2014.09,116.811941347676,
2014.10,121.339250331744,
2014.11,124.066955350425,
2014.12,126.383484162934,
2015.01,123.552035965074,
2015.02,131.766765520028,
2015.03,145.533705049412,
2015.04,138.727111624109,
2015.05,140.898181898915,
2015.06,143.386746393104,
2015.07,147.392956501744,
2015.08,159.515839499696,
2015.09,171.491593076368,
2015.10,165.865030203014,
2015.11,159.521139333244,
2015.12,161.791551071511,
2016.01,166.22065009296,
2016.02,160.452015128597,
2016.03,149.393915800143,
2016.04,143.788744574048,
2016.05,141.363009310842,
2016.06,134.87442021293,
2016.07,129.981791608314,
2016.08,126.348387346932,
2016.09,128.69313872443,
2016.10,126.50569669818,
2016.11,132.442932195116,
2016.12,132.633479471832,
2017.01,126.952142559785,
2017.02,123.68614350068,
2017.03,125.806626648004,
2017.04,129.246765736862,
2017.05,132.729846548397,
2017.06,138.544500292192,
2017.07,135.629512776998,
2017.08,133.624600934059,
2017.09,132.458178970381,
2017.10,135.154849749408,
2017.11,137.958190565324,
2017.12,138.001348350546,
2018.01,134.348732712572,
2018.02,135.50102902245,
2018.03,136.499722392077,
2018.04,139.930101420005,
2018.05,146.960197976439,
2018.06,150.141081283801,
2018.07,151.861216637945,
2018.08,154.413528863844,
2018.09,157.586845126681,
2018.10,144.751454712159,
2018.11,147.358229322292,
2018.12,151.529408910693,
2019.01,145.437615817911,
2019.02,142.545138246101,
2019.03,147.13940987892,
2019.04,148.292184593232,
2019.05,151.507234395283,
2019.06,143.989121390511,
2019.07,141.810182718539,
2019.08,151.625028471362,
2019.09,153.480052327298,
2019.10,152.177554347153,
2019.11,153.834144836429,
2019.12,149.235843225788,
2020.01,150.730831517164,
2020.02,156.371782556501,
2020.03,169.9953326691,
2020.04,178.721364153048,
2020.05,190.447725737729,
2020.06,171.555723932707,
2020.07,169.766457966375,
2020.08,166.783012708701,
2020.09,158.373091782384,
2020.10,158.293709405788,
2020.11,147.923914941288,
2020.12,140.636812682292,
2021.01,142.372255318688,
2021.02,141.505861074393,
2021.03,145.476106782627,
2021.04,139.656707676062,
2021.05,128.856490976459,
2021.06,124.279304901308,
2021.07,126.036229221614,
2021.08,130.18199920083,
2021.09,134.437194161026,
2021.10,140.255440392668,
2021.11,144.012556435299,
2021.12,144.076025245457,
2022.01,139.727748078675,
2022.02,132.021537971891,
2022.03,125.258323329204,
2022.04,120.706780420075,
2022.05,127.162714039922,
2022.06,132.734358143924,
2022.07,138.916810465088,
2022.08,132.719196420744,
2022.09,137.445757864721,
2022.10,139.238432484491,
2022.11,142.417297753913,
2022.12,141.091846013878,
2023.01,140.87450416937,
2023.02,139.779835980774,
2023.03,141.860020315459,
2023.04,137.554029548943,
2023.05,138.931525010412,
2023.06,138.216624981046,
2023.07,138.536843587051,
2023.08,144.412238225203,
2023.09,145.821397513218,
2023.10,145.990009685112,
2023.11,140.250395325631,
2023.12,139.102179936101,
2024.01,140.646591675763,
2024.02,145.154646428625,
2024.03,146.353495304389,
